No,Deskripsi,Keterangan
3,Bagaimana layanan helpdesk perusahaan,"Sebutkan layanan helpdesk perusahaan (Misal : Realtime, Office hours, dsb)"
VIII,Pengalaman,
1,Apakah perusahaan memiliki pengalaman kerja sama dengan bank atau lembaga keuangan,Dijawab Ya atau Tidak
2,Sebutkan bank / lembaga keuangan apa yang telah melakukan kerjasama dengan perusahaan,Sebutkan bank / lembaga keuangan apa yang telah melakukan kerjasama dengan perusahaan
3,Jelaskan pengalaman perusahaan dalam kerjasama dengan bank / lembaga keuangan,Jelaskan pengalaman perusahaan dalam kerjasama dengan bank / lembaga keuangan
IX,Security Awareness,
1,Apakah perusahaan melakukan security awareness kepada pegawai dan nasabahnya?,Dijawab Ya atau Tidak
,,
2,"Jika Ya, berapa frekuensi security awareness yang dilakukan perusahaan dalam 1 (Satu) Tahun","Pilih salah satu frekuensi security awareness yang dilakukan perusahaan dalam 1 (satu) tahun (Misal : 1x, 3x, 6x, 12x, dsb)"
3,Kapan terakhir perusahaan melakukan security awareness kepada nasabah,Kapan terakhir perusahaan melakukan security awareness kepada nasabah. Dilampirkan jenis awareness terakhir yang dilakukan.
